Team,Total goals against,Post shot xG,Post shot xG/Shot on target,Post shot xG +/- total,Post shot xG +/- /90,Shots faced,Shots on target faced,% shots on target faced,Shots /90,Shots on target /90,Goals/shot faced,Goals/shot on target faced,Average shot distance,xG,Non-penalty xG,Non-penalty xG/shot,Goals - xG,Non-penalty goals - xG
Atalanta,13,10.3,0.38,-0.7,-0.11,86,29,33.7,12.29,4.14,0.13,0.38,17.6,8.8,8.8,0.11,2.2,2.2
Bologna,9,8,0.33,0,0.01,78,21,26.9,11.14,3,0.1,0.38,17.2,8.8,8,0.1,-0.8,0
Cagliari,11,9.9,0.25,-1.1,-0.16,105,30,28.6,15,4.29,0.09,0.3,17.7,11.6,10.1,0.1,-0.6,-1.1
Como,14,11.1,0.28,-2.9,-0.41,68,28,41.2,9.71,4,0.16,0.39,17.7,8.8,6.4,0.1,5.2,4.6
Empoli,4,5,0.2,1,0.15,111,21,18.9,15.86,3,0.04,0.19,16.7,9.7,8.8,0.08,-5.7,-4.8
Fiorentina,8,8.6,0.2,0.6,0.09,81,33,40.7,11.57,4.71,0.1,0.24,17.6,8.2,6.6,0.08,-0.2,1.4
Genoa,15,12.2,0.29,-2.8,-0.39,95,28,29.5,13.57,4,0.13,0.43,16.4,13.9,10.8,0.12,1.1,1.2
Hellas Verona,12,8.4,0.24,-3.6,-0.52,99,32,32.3,14.14,4.57,0.11,0.34,19.5,10.2,8.7,0.09,1.8,2.3
Inter,9,8.7,0.24,-0.3,-0.05,69,28,40.6,9.86,4,0.12,0.29,17.8,8,6.3,0.09,1,1.7
Juventus,1,2.7,0.18,1.7,0.25,48,9,18.8,6.86,1.29,0,0,21.5,3.4,2.6,0.05,-2.4,-2.6
Lazio,11,9.3,0.31,-1.7,-0.24,67,23,34.3,9.57,3.29,0.13,0.39,18.6,7.5,6,0.09,3.5,3
Lecce,12,9.6,0.26,-2.4,-0.35,98,29,29.6,14,4.14,0.1,0.34,15.7,10.8,9.2,0.1,1.2,0.8
Milan,9,7.5,0.25,-0.5,-0.06,69,26,37.7,9.86,3.71,0.12,0.31,17.8,7.7,6.9,0.1,0.3,1.1
Monza,9,7.2,0.29,-1.8,-0.26,97,25,25.8,13.86,3.57,0.09,0.36,16.4,7.8,7.8,0.08,1.2,1.2
Napoli,5,6.9,0.37,1.9,0.27,73,16,21.9,10.43,2.29,0.05,0.25,19.7,6.1,5.3,0.07,-1.1,-1.3
Parma,12,11.3,0.33,-0.7,-0.11,124,35,28.2,17.71,5,0.1,0.34,18.1,12,12,0.1,0,0
Roma,5,7.7,0.27,2.7,0.38,84,24,28.6,12,3.43,0.05,0.17,16.7,8.9,8.1,0.1,-3.9,-4.1
Torino,11,14.4,0.34,3.4,0.49,133,40,30.1,19,5.71,0.08,0.28,18,12.5,11.7,0.09,-1.5,-0.7
Udinese,10,10.2,0.24,0.2,0.03,107,33,30.8,15.29,4.71,0.07,0.24,17.1,11.5,9.2,0.09,-1.5,-1.2
Venezia,12,10.1,0.22,0.1,0.02,99,32,32.3,14.14,4.57,0.07,0.22,16.9,11,8.7,0.09,-1,-1.7
