"Player
▲",Squad,90s,Goals,Shots,Shots on target,Shots on target %,Shots /90,Shots on target /90,Goals /shot,Goals /shot on target,Average shot distance,xG,Non penalty xG,Non penalty xG /shot,Goals - xG,Non penalty goals - xG,Team non-penalty xG,Team total xG,% non-penalty xG,% total xG,Team shots,% team shots,Team total goals,% team goals
Tammy Abraham,Milan,4.2,2,13,7,53.8,3.1,1.67,0.08,0.14,14.9,4.3,2.6,0.2,-2.3,-1.6,17.9,21,14.5,20.5,162,8.0,20,10.0
Francesco Acerbi,Inter,7.3,0,2,1,50,0.27,0.14,0,0,12.5,0.2,0.2,0.11,-0.2,-0.2,18.4,21.5,1.1,0.9,188,1.1,25,0.0
Che Adams,Torino,7.5,3,15,8,53.3,2.01,1.07,0.2,0.38,18.2,2.3,2.3,0.15,0.7,0.7,11.7,13.2,19.7,17.4,114,13.2,14,21.4
Yacine Adli,Fiorentina,4.5,1,1,1,100,0.22,0.22,1,1,20.8,0,0,0.02,1,1,16,19.2,0.0,0.0,166,0.6,24,4.2
Michel Aebischer,Bologna,4.2,0,5,2,40,1.19,0.48,0,0,21.1,0.2,0.2,0.03,-0.2,-0.2,11.9,12.6,1.7,1.6,154,3.2,15,0.0
Pontus Almqvist,Parma,3.6,1,9,4,44.4,2.48,1.1,0.11,0.25,18.7,0.6,0.6,0.07,0.4,0.4,14.2,16.6,4.2,3.6,160,5.6,16,6.3
Giorgio Altare,Venezia,3.8,0,3,1,33.3,0.78,0.26,0,0,15.2,0.2,0.2,0.05,-0.2,-0.2,9.6,11.9,2.1,1.7,134,2.2,11,0.0
Sofyan Amrabat,Fiorentina,2,0,0,0,,0,0,,,,0,0,,0,0,16,19.2,0.0,0.0,166,0.0,24,0.0
Angeliño,Roma,11,0,6,1,16.7,0.55,0.09,0,0,21.5,0.3,0.3,0.04,-0.3,-0.3,14.9,15.7,2.0,1.9,183,3.3,14,0.0
Faustino Anjorin,Empoli,4.8,0,5,0,0,1.03,0,0,,26.8,0.2,0.2,0.04,-0.2,-0.2,7.9,8.7,2.5,2.3,101,5.0,8,0.0
Kristjan Asllani,Inter,1.6,0,3,1,33.3,1.86,0.62,0,0,17,0.4,0.4,0.12,-0.4,-0.4,18.4,21.5,2.2,1.9,188,1.6,25,0.0
Tommaso Augello,Cagliari,9.2,0,2,0,0,0.22,0,0,,23.2,0.1,0.1,0.03,-0.1,-0.1,14.3,15.5,0.7,0.6,161,1.2,11,0.0
Carlos Augusto,Inter,2.1,0,1,0,0,0.47,0,0,,7,0.3,0.3,0.3,-0.3,-0.3,18.4,21.5,1.6,1.4,188,0.5,25,0.0
Yann Aurel Bisseck,Inter,4.3,0,4,0,0,0.94,0,0,,11.4,0.4,0.4,0.1,-0.4,-0.4,18.4,21.5,2.2,1.9,188,2.1,25,0.0
Paulo Azzi,Cagliari,4.7,0,8,3,37.5,1.69,0.63,0,0,16.8,0.5,0.5,0.07,-0.5,-0.5,14.3,15.5,3.5,3.2,161,5.0,11,0.0
Milan Badelj,Genoa,7.5,0,5,0,0,0.67,0,0,,18.2,0.6,0.6,0.11,-0.6,-0.6,10.1,11.1,5.9,5.4,130,3.8,9,0.0
